Wavelength,Excitation,Emission,,,Wavelength,Excitation,,Wavelength,Emission
300,0,0,,,300,0,,300,0
301,0,0,,,301,0,,301,0
302,0,0,,,302,0,,302,0
303,0,0,,,303,0,,303,0
304,0,0,,,304,0,,304,0
305,0,0,,,305,0,,305,0
306,0,0,,,306,0,,306,0
307,0,0,,,307,0,,307,0
308,0,0,,,308,0,,308,0
309,0,0,,,309,0,,309,0
310,0,0,,,310,0,,310,0
311,0,0,,,311,0,,311,0
312,0,0,,,312,0,,312,0
313,0,0,,,313,0,,313,0
314,0,0,,,314,0,,314,0
315,0,0,,,315,0,,315,0
316,0,0,,,316,0,,316,0
317,0,0,,,317,0,,317,0
318,0,0,,,318,0,,318,0
319,0,0,,,319,0,,319,0
320,0,0,,,320,0,,320,0
321,0,0,,,321,0,,321,0
322,0,0,,,322,0,,322,0
323,0,0,,,323,0,,323,0
324,0,0,,,324,0,,324,0
325,0,0,,,325,0,,325,0
326,0,0,,,326,0,,326,0
327,0,0,,,327,0,,327,0
328,0,0,,,328,0,,328,0
329,0,0,,,329,0,,329,0
330,0,0,,,330,0,,330,0
331,0,0,,,331,0,,331,0
332,0,0,,,332,0,,332,0
333,0,0,,,333,0,,333,0
334,0,0,,,334,0,,334,0
335,0,0,,,335,0,,335,0
336,0,0,,,336,0,,336,0
337,0,0,,,337,0,,337,0
338,0,0,,,338,0,,338,0
339,0,0,,,339,0,,339,0
340,0,0,,,340,0,,340,0
341,0,0,,,341,0,,341,0
342,0,0,,,342,0,,342,0
343,0,0,,,343,0,,343,0
344,0,0,,,344,0,,344,0
345,0,0,,,345,0,,345,0
346,0,0,,,346,0,,346,0
347,0,0,,,347,0,,347,0
348,0,0,,,348,0,,348,0
349,0,0,,,349,0,,349,0
350,0,0,,,350,0,,350,0
351,0,0,,,351,0,,351,0
352,0,0,,,352,0,,352,0
353,0,0,,,353,0,,353,0
354,0,0,,,354,0,,354,0
355,0,0,,,355,0,,355,0
356,0,0,,,356,0,,356,0
357,0,0,,,357,0,,357,0
358,0,0,,,358,0,,358,0
359,0,0,,,359,0,,359,0
360,0,0,,,360,0,,360,0
361,0,0,,,361,0,,361,0
362,0,0,,,362,0,,362,0
363,0,0,,,363,0,,363,0
364,0,0,,,364,0,,364,0
365,0,0,,,365,0,,365,0
366,0,0,,,366,0,,366,0
367,0,0,,,367,0,,367,0
368,0,0,,,368,0,,368,0
369,0,0,,,369,0,,369,0
370,0,0,,,370,0,,370,0
371,0,0,,,371,0,,371,0
372,0,0,,,372,0,,372,0
373,0,0,,,373,0,,373,0
374,0,0,,,374,0,,374,0
375,0,0,,,375,0,,375,0
376,0,0,,,376,0,,376,0
377,0,0,,,377,0,,377,0
378,0,0,,,378,0,,378,0
379,0,0,,,379,0,,379,0
380,0,0,,,380,0,,380,0
381,0,0,,,381,0,,381,0
382,0,0,,,382,0,,382,0
383,0,0,,,383,0,,383,0
384,0,0,,,384,0,,384,0
385,0,0,,,385,0,,385,0
386,0,0,,,386,0,,386,0
387,0,0,,,387,0,,387,0
388,0,0,,,388,0,,388,0
389,0,0,,,389,0,,389,0
390,0,0,,,390,0,,390,0
391,0,0,,,391,0,,391,0
392,0,0,,,392,0,,392,0
393,0,0,,,393,0,,393,0
394,0,0,,,394,0,,394,0
395,0,0,,,395,0,,395,0
396,0,0,,,396,0,,396,0
397,0,0,,,397,0,,397,0
398,0,0,,,398,0,,398,0
399,0,0,,,399,0,,399,0
400,0,0,,,400,0,,400,0
401,10.70820395,0,,,401,10.70820395,,401,0
402,11.77000902,0,,,402,11.77000902,,402,0
403,12.36101372,0,,,403,12.36101372,,403,0
404,12.97205249,0,,,404,12.97205249,,404,0
405,13.59310828,0,,,405,13.59310828,,405,0
406,14.24421517,0,,,406,14.24421517,,406,0
407,14.92537313,0,,,407,14.92537313,,407,0
408,15.59651407,0,,,408,15.59651407,,408,0
409,16.3678253,0,,,409,16.3678253,,409,0
410,17.11910247,0,,,410,17.11910247,,410,0
411,17.92046479,0,,,411,17.92046479,,411,0
412,18.76189522,0,,,412,18.76189522,,412,0
413,19.59330862,0,,,413,19.59330862,,413,0
414,20.5549434,0,,,414,20.5549434,,414,0
415,21.45647601,0,,,415,21.45647601,,415,0
416,22.47821296,0,,,416,22.47821296,,416,0
417,23.43984774,0,,,417,23.43984774,,417,0
